fname,label
1.SAC.wav,Earthquake Sound
2.SAC.wav,Earthquake Sound
3.SAC.wav,Earthquake Sound
4.SAC.wav,Earthquake Sound
5.SAC.wav,Earthquake Sound
6.SAC.wav,Earthquake Sound
7.SAC.wav,Earthquake Sound
8.SAC.wav,Earthquake Sound
9.SAC.wav,Earthquake Sound
AP_vt.txtMag 2.wav,Earthquake Sound
ARI.txtMag 4.wav,Earthquake Sound
ASR.txtMag 5.wav,Earthquake Sound
BA_vt.txtMag 7.wav,Earthquake Sound
BAG.txtMag 4.wav,Earthquake Sound
BAG.txtMag 5.wav,Earthquake Sound
BAG_EW.txtMag 5.wav,Earthquake Sound
BAG_NS.txtMag 5.wav,Earthquake Sound
BAG_vt.txtMag 3.wav,Earthquake Sound
BAG_vt.txtMag 4.wav,Earthquake Sound
BAR.txtMag 4.wav,Earthquake Sound
BAR.txtMag 5.wav,Earthquake Sound
BAR_vt.txtMag 3.wav,Earthquake Sound
BAR_vt.txtMag 6.wav,Earthquake Sound
BHA.txtMag 5.wav,Earthquake Sound
BHA_vt.txtMag 3.wav,Earthquake Sound
BHA_vt.txtMag 6.wav,Earthquake Sound
BIL.txtMag 5.wav,Earthquake Sound
BM_vt.txtMag 7.wav,Earthquake Sound
BOK.txtMag 4.wav,Earthquake Sound
BOK.txtMag 5.wav,Earthquake Sound
BOK_vt.txtMag 4.wav,Earthquake Sound
BOK_vt.txtMag 6.wav,Earthquake Sound
BON.txtMag 4.wav,Earthquake Sound
BON.txtMag 5.wav,Earthquake Sound
BON_vt.txtMag 6.wav,Earthquake Sound
BP_vt.txtMag 2.wav,Earthquake Sound
CHA.txtMag 4.wav,Earthquake Sound
CHA_vt.txtMag 3.wav,Earthquake Sound
CHA_vt.txtMag 4.wav,Earthquake Sound
CHA_vt.txtMag 6.wav,Earthquake Sound
CHM.txtMag 4.wav,Earthquake Sound
CHM.txtMag 5.wav,Earthquake Sound
CHM_vt.txtMag 3.wav,Earthquake Sound
